Time,VoltageFL,VoltageFR,VoltageBL,VoltageBR
364,0.976722,-2.87276,-2.87276,0.976722
365,0.92252,-2.87191,-2.87191,0.92252
366,0.802642,-2.87024,-2.87024,0.802642
367,0.555421,-2.86654,-2.86654,0.555421
368,0.0603757,-2.85646,-2.85646,0.0603757
369,-0.924981,-2.81753,-2.81753,-0.924981
370,-2.93962,-2.60444,-2.60444,-2.93962
371,-3.10835,-2.29781,-2.29781,-3.10835
372,-2.98009,-2.30349,-2.30349,-2.98009
373,-2.83823,-2.3057,-2.3057,-2.83823
374,-2.70465,-2.30913,-2.30913,-2.70465
375,-2.57861,-2.31332,-2.31332,-2.57861
376,-2.45966,-2.31836,-2.31836,-2.45966
377,-2.3473,-2.32433,-2.32433,-2.3473
378,-2.2411,-2.33128,-2.33128,-2.2411
379,-2.14066,-2.33923,-2.33923,-2.14066
380,-2.04562,-2.34819,-2.34819,-2.04562
381,-1.95565,-2.35813,-2.35813,-1.95565
382,-1.87047,-2.369,-2.369,-1.87047
383,-1.78984,-2.38073,-2.38073,-1.78984
384,-1.71351,-2.39321,-2.39321,-1.71351
385,-1.64132,-2.4063,-2.4063,-1.64132
386,-1.57308,-2.41987,-2.41987,-1.57308
387,-1.50864,-2.43375,-2.43375,-1.50864
388,-1.44786,-2.44779,-2.44779,-1.44786
389,-1.39062,-2.46183,-2.46183,-1.39062
390,-1.33678,-2.47573,-2.47573,-1.33678
391,-1.28622,-2.48934,-2.48934,-1.28622
392,-1.23881,-2.50256,-2.50256,-1.23881
393,-1.19441,-2.5153,-2.5153,-1.19441
394,-1.15289,-2.52747,-2.52747,-1.15289
395,-1.11411,-2.53904,-2.53904,-1.11411
396,-1.07793,-2.54996,-2.54996,-1.07793
397,-1.0442,-2.56022,-2.56022,-1.0442
398,-1.01279,-2.56982,-2.56982,-1.01279
399,-0.983549,-2.57878,-2.57878,-0.983549
400,-0.923443,-2.5871,-2.5871,-0.923443
401,-0.774355,-2.60465,-2.60465,-0.774355
402,-0.440515,-2.64765,-2.64765,-0.440515
403,0.271088,-2.73216,-2.73216,0.271088
404,1.71983,-2.83416,-2.83416,1.71983
405,3.1136,-2.87332,-2.87332,3.1136
406,2.97312,-2.87479,-2.87479,2.97312
407,2.83884,-2.87431,-2.87431,2.83884
408,2.71259,-2.87384,-2.87384,2.71259
409,2.59392,-2.87335,-2.87335,2.59392
410,2.48239,-2.87285,-2.87285,2.48239
411,2.37755,-2.87233,-2.87233,2.37755
412,2.27901,-2.8718,-2.8718,2.27901
413,2.18637,-2.87125,-2.87125,2.18637
414,2.09929,-2.87067,-2.87067,2.09929
415,2.01743,-2.87008,-2.87008,2.01743
416,1.94047,-2.86946,-2.86946,1.94047
417,1.86812,-2.86882,-2.86882,1.86812
418,1.80009,-2.86817,-2.86817,1.80009
419,1.73613,-2.86749,-2.86749,1.73613
420,1.67599,-2.86679,-2.86679,1.67599
421,1.61944,-2.86608,-2.86608,1.61944
422,1.56627,-2.86535,-2.86535,1.56627
423,1.51626,-2.8646,-2.8646,1.51626
424,1.46924,-2.86384,-2.86384,1.46924
425,1.42501,-2.86307,-2.86307,1.42501
426,1.38342,-2.86228,-2.86228,1.38342
427,1.34431,-2.86149,-2.86149,1.34431
428,1.30751,-2.86069,-2.86069,1.30751
429,1.27291,-2.85989,-2.85989,1.27291
430,1.24036,-2.85909,-2.85909,1.24036
431,1.20974,-2.85828,-2.85828,1.20974
432,1.18094,-2.85747,-2.85747,1.18094
433,1.15384,-2.85667,-2.85667,1.15384
434,1.12835,-2.85587,-2.85587,1.12835
435,1.10437,-2.85507,-2.85507,1.10437
436,1.08181,-2.85428,-2.85428,1.08181
437,1.06058,-2.8535,-2.8535,1.06058
438,1.0406,-2.85272,-2.85272,1.0406
439,1.0218,-2.85196,-2.85196,1.0218
440,1.00411,-2.8512,-2.8512,1.00411
441,0.987462,-2.85045,-2.85045,0.987462
442,0.946713,-2.84971,-2.84971,0.946713
443,0.851195,-2.84841,-2.84841,0.851195
444,0.649467,-2.84558,-2.84558,0.649467
445,0.241396,-2.83831,-2.83831,0.241396
446,-0.571908,-2.81315,-2.81315,-0.571908
447,-2.2174,-2.68052,-2.68052,-2.2174
448,-3.15054,-2.30973,-2.30973,-3.15054
449,-3.0417,-2.27966,-2.27966,-3.0417
450,-2.90086,-2.2827,-2.2827,-2.90086
451,-2.76536,-2.28569,-2.28569,-2.76536
452,-2.63762,-2.28949,-2.28949,-2.63762
453,-2.5171,-2.29407,-2.29407,-2.5171
454,-2.4033,-2.29952,-2.29952,-2.4033
455,-2.29579,-2.30588,-2.30588,-2.29579
456,-2.19415,-2.3132,-2.3132,-2.19415
457,-2.098,-2.32149,-2.32149,-2.098
458,-2.00702,-2.33073,-2.33073,-2.00702
459,-1.9209,-2.34089,-2.34089,-1.9209
460,-1.83938,-2.3519,-2.3519,-1.83938
461,-1.76222,-2.36366,-2.36366,-1.76222
462,-1.68922,-2.37608,-2.37608,-1.68922
463,-1.62021,-2.38902,-2.38902,-1.62021
464,-1.55501,-2.40234,-2.40234,-1.55501
465,-1.49348,-2.41589,-2.41589,-1.49348
466,-1.43549,-2.42951,-2.42951,-1.43549
467,-1.3809,-2.44307,-2.44307,-1.3809
468,-1.32959,-2.45644,-2.45644,-1.32959
469,-1.28143,-2.46949,-2.46949,-1.28143
470,-1.23629,-2.48213,-2.48213,-1.23629
471,-1.19404,-2.49427,-2.49427,-1.19404
472,-1.15453,-2.50586,-2.50586,-1.15453
473,-1.11764,-2.51686,-2.51686,-1.11764
474,-1.08323,-2.52724,-2.52724,-1.08323
475,-1.05115,-2.537,-2.537,-1.05115
476,-1.02128,-2.54613,-2.54613,-1.02128
477,-0.993467,-2.55464,-2.55464,-0.993467
478,-0.954527,-2.56256,-2.56256,-0.954527
479,-0.851158,-2.57382,-2.57382,-0.851158
480,-0.613859,-2.60402,-2.60402,-0.613859
481,-0.10009,-2.66917,-2.66917,-0.10009
482,0.966206,-2.77198,-2.77198,0.966206
483,3.0801,-2.84337,-2.84337,3.0801
484,3.01167,-2.85325,-2.85325,3.01167
485,2.87365,-2.8527,-2.8527,2.87365
486,2.74363,-2.85225,-2.85225,2.74363
487,2.62143,-2.85179,-2.85179,2.62143
488,2.50658,-2.85132,-2.85132,2.50658
489,2.39863,-2.85083,-2.85083,2.39863
490,2.29715,-2.85031,-2.85031,2.29715
491,2.20177,-2.84978,-2.84978,2.20177
492,2.1121,-2.84923,-2.84923,2.1121
493,2.02781,-2.84866,-2.84866,2.02781
494,1.94857,-2.84806,-2.84806,1.94857
495,1.87408,-2.84745,-2.84745,1.87408
496,1.80404,-2.84681,-2.84681,1.80404
497,1.73819,-2.84614,-2.84614,1.73819
498,1.67627,-2.84546,-2.84546,1.67627
499,1.61805,-2.84476,-2.84476,1.61805
500,1.56331,-2.84404,-2.84404,1.56331
501,1.51183,-2.8433,-2.8433,1.51183
502,1.46342,-2.84255,-2.84255,1.46342
503,1.4179,-2.84178,-2.84178,1.4179
504,1.37508,-2.84101,-2.84101,1.37508
505,1.33482,-2.84022,-2.84022,1.33482
506,1.29695,-2.83942,-2.83942,1.29695
507,1.26133,-2.83862,-2.83862,1.26133
508,1.22782,-2.83782,-2.83782,1.22782
509,1.19631,-2.83701,-2.83701,1.19631
510,1.16667,-2.8362,-2.8362,1.16667
511,1.13878,-2.83539,-2.83539,1.13878
512,1.11255,-2.83459,-2.83459,1.11255
513,1.08788,-2.83379,-2.83379,1.08788
514,1.06466,-2.833,-2.833,1.06466
515,1.04282,-2.83221,-2.83221,1.04282
516,1.02226,-2.83143,-2.83143,1.02226
517,1.00293,-2.83066,-2.83066,1.00293
518,0.984727,-2.8299,-2.8299,0.984727
519,0.937057,-2.82915,-2.82915,0.937057
520,0.826483,-2.8277,-2.8277,0.826483
521,0.593907,-2.82441,-2.82441,0.593907
522,0.124047,-2.81547,-2.81547,0.124047
523,-0.813951,-2.78171,-2.78171,-0.813951
524,-2.72831,-2.59438,-2.59438,-2.72831
525,-3.14302,-2.26092,-2.26092,-3.14302
526,-3.02176,-2.26112,-2.26112,-3.02176
527,-2.88127,-2.26328,-2.26328,-2.88127
528,-2.74857,-2.26644,-2.26644,-2.74857
529,-2.6234,-2.2703,-2.2703,-2.6234
530,-2.50529,-2.27493,-2.27493,-2.50529
531,-2.39378,-2.28041,-2.28041,-2.39378
532,-2.28843,-2.28678,-2.28678,-2.28843
533,-2.18883,-2.29407,-2.29407,-2.18883
534,-2.09463,-2.30229,-2.30229,-2.09463
535,-2.00549,-2.31141,-2.31141,-2.00549
536,-1.92113,-2.32141,-2.32141,-1.92113
537,-1.84129,-2.3322,-2.3322,-1.84129
538,-1.76573,-2.34372,-2.34372,-1.76573
539,-1.69427,-2.35584,-2.35584,-1.69427
540,-1.62671,-2.36844,-2.36844,-1.62671
541,-1.5629,-2.38139,-2.38139,-1.5629
542,-1.5027,-2.39454,-2.39454,-1.5027
543,-1.44596,-2.40777,-2.40777,-1.44596
544,-1.39255,-2.42092,-2.42092,-1.39255
545,-1.34236,-2.43389,-2.43389,-1.34236
546,-1.29524,-2.44655,-2.44655,-1.29524
547,-1.25107,-2.45882,-2.45882,-1.25107
548,-1.20971,-2.47062,-2.47062,-1.20971
549,-1.17105,-2.48189,-2.48189,-1.17105
550,-1.13493,-2.4926,-2.4926,-1.13493
551,-1.10123,-2.50272,-2.50272,-1.10123
552,-1.06981,-2.51224,-2.51224,-1.06981
553,-1.04054,-2.52116,-2.52116,-1.04054
554,-1.01329,-2.5295,-2.5295,-1.01329
