Time,VoltageFL,VoltageFR,VoltageBL,VoltageBR
385,-1.26421,-2.54254,-2.54254,-1.26421
386,-1.23846,-2.54973,-2.54973,-1.23846
387,-1.21354,-2.55681,-2.55681,-1.21354
388,-1.18943,-2.56376,-2.56376,-1.18943
389,-1.16611,-2.57056,-2.57056,-1.16611
390,-1.14357,-2.5772,-2.5772,-1.14357
391,-1.12178,-2.58368,-2.58368,-1.12178
392,-1.10074,-2.58999,-2.58999,-1.10074
393,-1.08041,-2.59613,-2.59613,-1.08041
394,-1.06079,-2.60208,-2.60208,-1.06079
395,-1.04185,-2.60785,-2.60785,-1.04185
396,-1.02357,-2.61344,-2.61344,-1.02357
397,-1.00594,-2.61884,-2.61884,-1.00594
398,-0.988927,-2.62406,-2.62406,-0.988927
399,-0.972523,-2.62909,-2.62909,-0.972523
400,-0.946256,-2.63394,-2.63394,-0.946256
401,-0.903459,-2.64018,-2.64018,-0.903459
402,-0.841063,-2.64954,-2.64954,-0.841063
403,-0.752996,-2.66325,-2.66325,-0.752996
404,-0.630839,-2.68257,-2.68257,-0.630839
405,-0.46358,-2.70863,-2.70863,-0.46358
406,-0.237277,-2.74188,-2.74188,-0.237277
407,0.0651049,-2.78098,-2.78098,0.0651049
408,0.46381,-2.82185,-2.82185,0.46381
409,0.983173,-2.85849,-2.85849,0.983173
410,1.65396,-2.8861,-2.8861,1.65396
411,2.40768,-2.90371,-2.90371,2.40768
412,2.75748,-2.91344,-2.91344,2.75748
413,2.90143,-2.91829,-2.91829,2.90143
414,2.94119,-2.92061,-2.92061,2.94119
415,2.92871,-2.92165,-2.92165,2.92871
416,2.89053,-2.92205,-2.92205,2.89053
417,2.8402,-2.92212,-2.92212,2.8402
418,2.78459,-2.92203,-2.92203,2.78459
419,2.72721,-2.92185,-2.92185,2.72721
420,2.66981,-2.92163,-2.92163,2.66981
421,2.61326,-2.92139,-2.92139,2.61326
422,2.55798,-2.92113,-2.92113,2.55798
423,2.50416,-2.92086,-2.92086,2.50416
424,2.45187,-2.92059,-2.92059,2.45187
425,2.40112,-2.92031,-2.92031,2.40112
426,2.3519,-2.92002,-2.92002,2.3519
427,2.30416,-2.91973,-2.91973,2.30416
428,2.25789,-2.91944,-2.91944,2.25789
429,2.21302,-2.91914,-2.91914,2.21302
430,2.16953,-2.91884,-2.91884,2.16953
431,2.12736,-2.91853,-2.91853,2.12736
432,2.08649,-2.91821,-2.91821,2.08649
433,2.04687,-2.9179,-2.9179,2.04687
434,2.00846,-2.91758,-2.91758,2.00846
435,1.97122,-2.91725,-2.91725,1.97122
436,1.93512,-2.91692,-2.91692,1.93512
437,1.90013,-2.91658,-2.91658,1.90013
438,1.8662,-2.91624,-2.91624,1.8662
439,1.83331,-2.9159,-2.9159,1.83331
440,1.80143,-2.91555,-2.91555,1.80143
441,1.77052,-2.91519,-2.91519,1.77052
442,1.74055,-2.91483,-2.91483,1.74055
443,1.71149,-2.91447,-2.91447,1.71149
444,1.68332,-2.91411,-2.91411,1.68332
445,1.65601,-2.91374,-2.91374,1.65601
446,1.62953,-2.91336,-2.91336,1.62953
447,1.60386,-2.91299,-2.91299,1.60386
448,1.57897,-2.91261,-2.91261,1.57897
449,1.55484,-2.91222,-2.91222,1.55484
450,1.53144,-2.91184,-2.91184,1.53144
451,1.50876,-2.91145,-2.91145,1.50876
452,1.48676,-2.91105,-2.91105,1.48676
453,1.46543,-2.91066,-2.91066,1.46543
454,1.44475,-2.91026,-2.91026,1.44475
455,1.4247,-2.90987,-2.90987,1.4247
456,1.40526,-2.90947,-2.90947,1.40526
457,1.38641,-2.90907,-2.90907,1.38641
458,1.36813,-2.90866,-2.90866,1.36813
459,1.35041,-2.90826,-2.90826,1.35041
460,1.33322,-2.90786,-2.90786,1.33322
461,1.31655,-2.90745,-2.90745,1.31655
462,1.30039,-2.90704,-2.90704,1.30039
463,1.28472,-2.90664,-2.90664,1.28472
464,1.26953,-2.90623,-2.90623,1.26953
465,1.25479,-2.90583,-2.90583,1.25479
466,1.2405,-2.90542,-2.90542,1.2405
467,1.22664,-2.90502,-2.90502,1.22664
468,1.2132,-2.90461,-2.90461,1.2132
469,1.20017,-2.90421,-2.90421,1.20017
470,1.18753,-2.90381,-2.90381,1.18753
471,1.17528,-2.9034,-2.9034,1.17528
472,1.16339,-2.903,-2.903,1.16339
473,1.15186,-2.9026,-2.9026,1.15186
474,1.14068,-2.90221,-2.90221,1.14068
475,1.12984,-2.90181,-2.90181,1.12984
476,1.11932,-2.90141,-2.90141,1.11932
477,1.10912,-2.90102,-2.90102,1.10912
478,1.09923,-2.90063,-2.90063,1.09923
479,1.08963,-2.90024,-2.90024,1.08963
480,1.08032,-2.89986,-2.89986,1.08032
481,1.0713,-2.89947,-2.89947,1.0713
482,1.06254,-2.89909,-2.89909,1.06254
483,1.05405,-2.89871,-2.89871,1.05405
484,1.04581,-2.89833,-2.89833,1.04581
485,1.03781,-2.89795,-2.89795,1.03781
486,1.03006,-2.89758,-2.89758,1.03006
487,1.02254,-2.89721,-2.89721,1.02254
488,1.01524,-2.89684,-2.89684,1.01524
489,1.00816,-2.89647,-2.89647,1.00816
490,1.00129,-2.89611,-2.89611,1.00129
491,0.99463,-2.89575,-2.89575,0.99463
492,0.988166,-2.89539,-2.89539,0.988166
493,0.976728,-2.89504,-2.89504,0.976728
494,0.95903,-2.89463,-2.89463,0.95903
495,0.934045,-2.89411,-2.89411,0.934045
496,0.89984,-2.89346,-2.89346,0.89984
497,0.853813,-2.8926,-2.8926,0.853813
498,0.79259,-2.89145,-2.89145,0.79259
499,0.711822,-2.88987,-2.88987,0.711822
500,0.60588,-2.8876,-2.8876,0.60588
501,0.467446,-2.88423,-2.88423,0.467446
502,0.286921,-2.87894,-2.87894,0.286921
503,0.0515169,-2.8701,-2.8701,0.0515169
504,-0.256263,-2.85425,-2.85425,-0.256263
505,-0.661392,-2.82368,-2.82368,-0.661392
506,-1.20088,-2.76275,-2.76275,-1.20088
507,-1.92533,-2.654,-2.654,-1.92533
508,-2.53568,-2.52103,-2.52103,-2.53568
509,-2.82561,-2.42859,-2.42859,-2.82561
510,-2.94138,-2.37794,-2.37794,-2.94138
511,-2.96616,-2.35186,-2.35186,-2.96616
512,-2.9442,-2.33896,-2.33896,-2.9442
513,-2.89873,-2.33297,-2.33297,-2.89873
514,-2.84191,-2.33062,-2.33062,-2.84191
515,-2.78011,-2.33023,-2.33023,-2.78011
516,-2.7166,-2.33096,-2.33096,-2.7166
517,-2.6531,-2.33238,-2.33238,-2.6531
518,-2.59046,-2.33426,-2.33426,-2.59046
519,-2.52911,-2.3365,-2.3365,-2.52911
520,-2.46923,-2.33905,-2.33905,-2.46923
521,-2.41091,-2.34188,-2.34188,-2.41091
522,-2.35414,-2.34498,-2.34498,-2.35414
523,-2.29893,-2.34835,-2.34835,-2.29893
524,-2.24522,-2.35198,-2.35198,-2.24522
525,-2.19299,-2.35588,-2.35588,-2.19299
526,-2.14219,-2.36005,-2.36005,-2.14219
527,-2.09277,-2.36449,-2.36449,-2.09277
528,-2.0447,-2.36919,-2.36919,-2.0447
529,-1.99793,-2.37415,-2.37415,-1.99793
530,-1.95243,-2.37937,-2.37937,-1.95243
531,-1.90815,-2.38484,-2.38484,-1.90815
532,-1.86508,-2.39054,-2.39054,-1.86508
533,-1.82317,-2.39647,-2.39647,-1.82317
534,-1.7824,-2.40262,-2.40262,-1.7824
535,-1.74273,-2.40896,-2.40896,-1.74273
536,-1.70415,-2.41549,-2.41549,-1.70415
537,-1.66663,-2.42218,-2.42218,-1.66663
538,-1.63015,-2.42902,-2.42902,-1.63015
539,-1.59468,-2.43599,-2.43599,-1.59468
540,-1.56021,-2.44306,-2.44306,-1.56021
541,-1.52672,-2.45022,-2.45022,-1.52672
542,-1.49419,-2.45744,-2.45744,-1.49419
543,-1.4626,-2.4647,-2.4647,-1.4626
544,-1.43194,-2.47198,-2.47198,-1.43194
545,-1.40219,-2.47926,-2.47926,-1.40219
546,-1.37333,-2.48652,-2.48652,-1.37333
547,-1.34535,-2.49373,-2.49373,-1.34535
548,-1.31823,-2.50089,-2.50089,-1.31823
549,-1.29196,-2.50798,-2.50798,-1.29196
550,-1.26652,-2.51497,-2.51497,-1.26652
551,-1.24189,-2.52185,-2.52185,-1.24189
552,-1.21805,-2.52862,-2.52862,-1.21805
553,-1.19499,-2.53525,-2.53525,-1.19499
554,-1.1727,-2.54175,-2.54175,-1.1727
555,-1.15115,-2.54809,-2.54809,-1.15115
556,-1.13032,-2.55427,-2.55427,-1.13032
557,-1.1102,-2.56029,-2.56029,-1.1102
